Price,Stars,Number of Reviews,Product Name,Brand,Year of Release,Color Category,Display Type,Screen Size,Screen Resolution,Touch Screen,Operating System,Voice Assistant Built-in,Storage Type,Total Storage Capacity,System Memory (RAM),Type of Memory (RAM),Battery Type,Battery Life (up to),Graphics Type,GPU Brand,Graphics,Processor Brand,Processor Model,Number of CPU Cores,CPU Base Clock Frequency,Product Weight,Backlit Keyboard,Front Facing Camera Video Resolution,Number of HDMI Outputs (Total)
$279.00,4.5,15,"Flex 3i 12.2"" WUXGA Touch-Screen Chromebook Laptop - Intel N100 with 4GB Memory - 64GB eMMC",Lenovo,2023,Blue,LCD,12.2 inches,1920 x 1200 (WUXGA),Yes,Chrome OS,,eMMC,64 gigabytes,4 gigabytes,LPDDR5,Lithium-polymer,12 hours,Integrated,Intel,Intel UHD Graphics,Intel,Intel Processor N100,4-core (quad-core),3.4 gigahertz,2.75 pounds,No,,1
$479.99,4.7,255,"ENVY 2-in-1 15.6"" Full HD Touch-Screen Laptop - AMD Ryzen 5 7530U - 8GB Memory - 256GB SSD",HP,2023,Black,,15.6 inches,1920 x 1080 (Full HD),Yes,Windows 11 Home,,SSD,256 gigabytes,8 gigabytes,LPDDR4X,Lithium-ion polymer,,Integrated,AMD Radeon,AMD Radeon,AMD,AMD Ryzen 5 7000 Series,6-core,4.5 gigahertz,4.43 pounds,Yes,,1
"$1,799.00",4.9,588,"MacBook Pro 14"" Laptop - M2 Pro chip - 16GB Memory - 512GB SSD (Latest Model)",Apple,2023,Space Gray,,14.2 inches,3024 x 1964,No,Mac OS,,SSD,512 gigabytes,16 gigabytes,Not provided,Lithium-ion,,Integrated,Apple,Apple M2 Pro 16-core,Apple,Apple M2 Pro,,,3.5 pounds,Yes,,
$899.99,4.6,98,"Slim Pro 7 14"" 90Hz 2.5K Touch-Screen Laptop -AMD Ryzen 7 7735HS - NVIDIA GeForce RTX 3050 with 16GB Memory - 512GB SSD",Lenovo,2023,Gray,LCD,14.5 inches,2560 x 1600,Yes,Windows 11 Home,,SSD,512 gigabytes,16 gigabytes,LPDDR5,Lithium-ion polymer,13 hours,Dedicated,NVIDIA,NVIDIA GeForce RTX 3050,AMD,AMD Ryzen 7 7000 Series,8-core,4.75 gigahertz,3.37 pounds,Yes,1080p,1
"$1,359.99",4.5,261,"Yoga 7i 16"" 2.5K Touch 2-in-1 Laptop - Intel Evo Platform - Core i7-12700H - 32GB Memory - Intel Arc A370M - 1TB SSD",Lenovo,2022,Gray,LCD,16 inches,2560 x 1600,Yes,Windows 11 Home,,SSD,1024 gigabytes,32 gigabytes,LPDDR5,Lithium-ion polymer,16 hours,Dedicated,Intel,Intel Arc A370M,Intel,Intel 12th Generation Core i7 Evo Platform,14-core,2.3 gigahertz,4.62 pounds,Yes,1080p,1
"$1,099.99",4.1,97,"ROG 16"" Touchscreen Gaming Laptop - AMD Ryzen 9 - 16GB DDR5 Memory - NVIDIA GeForce RTX 3060 V6G Graphics - 1TB SSD",ASUS,2022,Black,LED,16 inches,2560 x 1600,Yes,Windows 11 Home,,SSD,1000 gigabytes,16 gigabytes,DDR5,Lithium-ion,,Dedicated,NVIDIA,NVIDIA GeForce RTX 3060,AMD,AMD Ryzen 9 6000 Series,8-core,,4.41 pounds,Yes,720p,1
$429.99,4.7,693,"Ideapad 3i 15.6"" FHD Touch Laptop - Core i5-1135G7 with 8GB Memory - 512GB SSD",Lenovo,2022,Gray,LCD,15.6 inches,1920 x 1080 (Full HD),Yes,Windows 11 Home in S Mode,,SSD,512 gigabytes,8 gigabytes,DDR4,Lithium-ion polymer,12 hours,Integrated,Intel,Intel Iris Xe Graphics,Intel,Intel 11th Generation Core i5,4-core (quad-core),4.2 gigahertz,3.74 pounds,No,720p,1
"$1,349.99",4.9,145,"ENVY 17.3"" Full HD Touch-Screen Laptop - Intel Core i7 - 16GB Memory - 1TB SSD",HP,2023,Silver,,17.3 inches,1920 x 1080 (Full HD),Yes,Windows 11 Home,,SSD,1024 gigabytes,16 gigabytes,DDR4,Lithium-ion polymer,,Integrated,Intel,Intel Iris Xe Graphics,Intel,Intel 13th Generation Core i7,14-core,5 gigahertz,5.5 pounds,Yes,,1
"$1,299.99",4.1,14,"Stealth 14"" 165hz FHD+ Gaming Laptop - Intel Core i7 13620H - NVIDIA GeForce RTX 4060  with 16GB RAM and 1TB SSD",MSI,2023,Blue,,14 inches,1920 x 1200 (WUXGA),No,Windows 11 Home,,SSD,1000 gigabytes,16 gigabytes,DDR5,Lithium-ion polymer,,Dedicated,NVIDIA,NVIDIA GeForce RTX 4060,Intel,Intel 13th Generation Core i7,,,3.75 pounds,Yes,720p,1
"$1,399.99",4.8,209,Surface Laptop Studio – 14.4” Touch Screen – Intel Core i5 -16GB Memory – 256GB SSD,Microsoft,2021,Silver,LCD,14.4 inches,2400 x 1600,Yes,Windows 11 Home,No,SSD,256 gigabytes,16 gigabytes,LPDDR4X,Lithium-ion,19 hours,Integrated,Intel,Intel Iris Xe Graphics,Intel,Intel 11th Generation Core i5,4-core (quad-core),,3.83 pounds,Yes,1080p,0
$189.00,4.6,246,"Chromebook 314 Laptop-14"" Full HD Touch IPS - 4GB LPDDR4-64GB eMMC- Wi-Fi 5",Acer,2022,Black,,14 inches,1920 x 1080 (Full HD),Yes,Chrome OS,,eMMC,64 gigabytes,4 gigabytes,LPDDR4,Lithium-ion,12.5 hours,Integrated,Intel,Intel UHD Graphics 600,Intel,Intel Celeron,2-core (dual-core),,3.31 pounds,No,720p,
$189.99,4.2,234,"Stream 11.6"" Laptop - Intel Celeron - 4GB Memory - 64GB eMMC",HP,2022,Silver,LCD,11.6 inches,1366 x 768 (HD),No,Windows 11 Home in S Mode,No,eMMC,64 gigabytes,4 gigabytes,DDR4,Lithium-ion,13.25 hours,Integrated,Intel,Intel UHD Graphics 600,Intel,Intel Celeron,4-core (quad-core),1.1 gigahertz,2.37 pounds,No,,1
"$1,099.99",4.4,414,"ROG Zephyrus 16"" FHD 165Hz Gaming Laptop-Intel Core i7-16GB DDR5 Memory-NVIDIA GeForce RTX 3060-512GB PCIe 4.0 SSD",ASUS,2022,Black,LED,16 inches,2560 x 1600,No,Windows 11 Home,,SSD,512 gigabytes,16 gigabytes,DDR5,Lithium-ion,,Dedicated,NVIDIA,NVIDIA GeForce RTX 3060,Intel,Intel 12th Generation Core i7,14-core,,4.41 pounds,Yes,720p,1
"$1,299.99",4.4,281,"m17 R5 17.3"" 360Hz FHD Gaming Laptop - AMD Ryzen 9 - 16GB Memory - NVIDIA GeForce RTX 3070 Ti - 1TB SSD",Alienware,2022,Black,LED,17.3 inches,1920 x 1080 (Full HD),No,Windows 11 Home,,SSD,1000 gigabytes,16 gigabytes,DDR5,Lithium-ion,,Dedicated,NVIDIA,NVIDIA GeForce RTX 3070 Ti,AMD,AMD Ryzen 9 6000 Series,8-core,4.9 gigahertz,7.3 pounds,Yes,720p,1
"$1,049.99",4.5,40,"Dell XPS 13 13.4"" FHD+ Laptop - 12th Gen Intel Evo i7 - 32GB Memory - Intel Iris Xe Graphics - 1TB SSD",Dell,2022,Blue,LED,13.4 inches,1920 x 1200 (WUXGA),No,Windows 11 Home,,SSD,1000 gigabytes,32 gigabytes,LPDDR5,Lithium-ion polymer,,Integrated,Intel,Intel Iris Xe Graphics,Intel,Intel 12th Generation Core i7 Evo Platform,10-core,4.7 gigahertz,2.59 pounds,Yes,720p,0
