Stars,Year of Release,Price,Screen Size,System Memory (RAM),Brand_Group_Apple,Brand_Group_Gaming,Brand_Group_Mainstream,Operating System_chrome,Operating System_mac,Operating System_windows,Backlit Keyboard_No,Backlit Keyboard_Yes
4.7,2023.0,479.0,15.6,8.0,0,0,1,1,0,0,1,0
4.7,2022.0,289.0,15.6,4.0,0,0,1,1,0,0,1,0
4.5,2023.0,1229.99,16.0,16.0,0,0,1,0,0,1,0,1
4.5,2023.0,1799.99,16.0,16.0,0,0,1,0,0,1,0,1
4.8,2023.0,1149.99,15.6,16.0,0,0,1,0,0,1,0,1
4.5,2021.0,749.99,13.5,8.0,0,0,1,0,0,1,0,1
4.5,2022.0,269.0,15.6,4.0,0,0,1,1,0,0,1,0
4.8,2022.0,1099.99,15.0,8.0,0,0,1,0,0,1,0,1
4.5,2023.0,599.99,13.3,8.0,0,0,1,0,0,1,0,1
4.5,2022.0,559.99,14.0,8.0,0,0,1,0,0,1,0,1
4.8,2023.0,1799.99,15.6,16.0,0,0,1,0,0,1,0,1
4.6,2022.0,1149.99,13.3,16.0,0,0,1,0,0,1,0,1
4.3,2022.0,258.99,15.6,8.0,0,0,1,1,0,0,1,0
4.8,2023.0,1149.99,16.0,16.0,0,0,1,0,0,1,0,1
5.0,2023.0,3499.0,16.2,32.0,1,0,0,0,1,0,0,1
4.5,2022.0,379.0,10.9,4.0,0,0,1,1,0,0,1,0
4.5,2022.0,549.0,16.0,8.0,0,0,1,1,0,0,0,1
4.8,2023.0,1999.99,16.0,16.0,0,0,1,0,0,1,0,1
4.6,2021.0,929.99,12.3,8.0,0,0,1,0,0,1,0,1
4.3,2022.0,2099.99,15.6,32.0,0,1,0,0,0,1,0,1
4.8,2023.0,1249.99,13.3,16.0,0,0,1,0,0,1,0,1
4.5,2022.0,249.0,11.6,4.0,0,0,1,1,0,0,1,0
4.8,2023.0,749.99,16.0,16.0,0,0,1,0,0,1,0,1
4.8,2023.0,899.99,13.3,16.0,0,0,1,0,0,1,0,1
4.8,2023.0,799.99,15.6,8.0,0,0,1,0,0,1,0,1
4.6,2021.0,1199.99,15.0,8.0,0,0,1,0,0,1,0,1
3.8,2023.0,2549.99,18.0,32.0,0,1,0,0,0,1,0,1
4.6,2022.0,449.0,12.4,4.0,0,0,1,1,0,0,1,0
4.6,2023.0,849.99,14.0,8.0,0,0,1,0,0,1,0,1
4.6,2022.0,1800.99,15.6,16.0,0,0,1,0,0,1,0,1
3.0,2023.0,899.99,15.6,8.0,0,0,1,0,0,1,0,1
4.6,2023.0,1399.99,16.0,16.0,0,1,0,0,0,1,0,1
4.4,2023.0,599.99,15.6,8.0,0,0,1,0,0,1,1,0
4.1,2023.0,1599.99,16.0,16.0,0,0,1,0,0,1,0,1
3.7,2023.0,699.99,14.0,8.0,0,0,1,1,0,0,0,1
4.5,2023.0,1199.99,16.0,16.0,0,0,1,0,0,1,0,1
4.6,2022.0,1699.99,13.5,16.0,0,0,1,0,0,1,0,1
